FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
0,IP,,,,1,01/01/2023,01/31/2023,57172,Count
0,IP,,,,2,02/01/2023,02/28/2023,51983,Count
0,IP,,,,3,03/01/2023,03/31/2023,58176,Count
0,IP,,,,4,04/01/2023,04/30/2023,54751,Count
0,IP,,,,5,05/01/2023,05/31/2023,57462,Count
0,IP,,,,6,06/01/2023,06/30/2023,56642,Count
0,IP,,,,7,07/01/2023,07/31/2023,57015,Count
0,IP,,,,8,08/01/2023,08/31/2023,58787,Count
0,IP,,,,9,09/01/2023,09/30/2023,56304,Count
0,IP,,,,10,10/01/2023,10/31/2023,58601,Count
0,IP,,,,11,11/01/2023,11/30/2023,56884,Count
0,IP,,,,12,12/01/2023,12/31/2023,58543,Count
0,IP,,,,13,01/01/2024,01/31/2024,59614,Count
0,IP,,,,14,02/01/2024,02/29/2024,54727,Count
0,IP,,,,15,03/01/2024,03/31/2024,58004,Count
0,IP,,,,16,04/01/2024,04/30/2024,58600,Count
0,IP,,,,17,05/01/2024,05/31/2024,59567,Count
0,IP,,,,18,06/01/2024,06/30/2024,57545,Count
0,IP,,,,19,07/01/2024,07/31/2024,59385,Count
0,IP,,,,20,08/01/2024,08/31/2024,59881,Count
0,IP,,,,21,09/01/2024,09/30/2024,57815,Count
0,IP,,,,22,10/01/2024,10/31/2024,60583,Count
0,IP,,,,23,11/01/2024,11/30/2024,55924,Count
0,IP,,,,24,12/01/2024,12/31/2024,49151,Count
0,ED,,,,1,01/01/2023,01/31/2023,156460,Count
0,ED,,,,2,02/01/2023,02/28/2023,145253,Count
0,ED,,,,3,03/01/2023,03/31/2023,164121,Count
0,ED,,,,4,04/01/2023,04/30/2023,158466,Count
0,ED,,,,5,05/01/2023,05/31/2023,166645,Count
0,ED,,,,6,06/01/2023,06/30/2023,158697,Count
0,ED,,,,7,07/01/2023,07/31/2023,163084,Count
0,ED,,,,8,08/01/2023,08/31/2023,163658,Count
0,ED,,,,9,09/01/2023,09/30/2023,161092,Count
0,ED,,,,10,10/01/2023,10/31/2023,165058,Count
0,ED,,,,11,11/01/2023,11/30/2023,160619,Count
0,ED,,,,12,12/01/2023,12/31/2023,170027,Count
0,ED,,,,13,01/01/2024,01/31/2024,162176,Count
0,ED,,,,14,02/01/2024,02/29/2024,156496,Count
0,ED,,,,15,03/01/2024,03/31/2024,162346,Count
0,ED,,,,16,04/01/2024,04/30/2024,162109,Count
0,ED,,,,17,05/01/2024,05/31/2024,168101,Count
0,ED,,,,18,06/01/2024,06/30/2024,158674,Count
0,ED,,,,19,07/01/2024,07/31/2024,162869,Count
0,ED,,,,20,08/01/2024,08/31/2024,163009,Count
0,ED,,,,21,09/01/2024,09/30/2024,161562,Count
0,ED,,,,22,10/01/2024,10/31/2024,165221,Count
0,ED,,,,23,11/01/2024,11/30/2024,156872,Count
0,ED,,,,24,12/01/2024,12/31/2024,169022,Count
1,ED,All Drugs,Age,0-15 Years,1,01/01/2023,01/31/2023,6.253098457,Percent
1,ED,All Opioids,Age,0-15 Years,1,01/01/2023,01/31/2023,0.013220081,Percent
1,ED,Stimulants,Age,0-15 Years,1,01/01/2023,01/31/2023,0.033050203,Percent
1,ED,Cannabis,Age,0-15 Years,1,01/01/2023,01/31/2023,0.320586972,Percent
1,ED,Benzodiazepine,Age,0-15 Years,1,01/01/2023,01/31/2023,0.013220081,Percent
1,ED,All Drugs,Age,0-15 Years,2,02/01/2023,02/28/2023,6.35504724,Percent
1,ED,All Opioids,Age,0-15 Years,2,02/01/2023,02/28/2023,0.036466103,Percent
1,ED,Stimulants,Age,0-15 Years,2,02/01/2023,02/28/2023,0.019890602,Percent
1,ED,Cannabis,Age,0-15 Years,2,02/01/2023,02/28/2023,0.23205702,Percent
1,ED,Benzodiazepine,Age,0-15 Years,2,02/01/2023,02/28/2023,0.019890602,Percent
1,ED,All Drugs,Age,0-15 Years,3,03/01/2023,03/31/2023,6.243352784,Percent
1,ED,All Opioids,Age,0-15 Years,3,03/01/2023,03/31/2023,0.037368134,Percent
1,ED,Stimulants,Age,0-15 Years,3,03/01/2023,03/31/2023,0.037368134,Percent
1,ED,Cannabis,Age,0-15 Years,3,03/01/2023,03/31/2023,0.278823766,Percent
1,ED,Benzodiazepine,Age,0-15 Years,3,03/01/2023,03/31/2023,0.011497887,Percent
1,ED,All Drugs,Age,0-15 Years,4,04/01/2023,04/30/2023,5.902606985,Percent
1,ED,All Opioids,Age,0-15 Years,4,04/01/2023,04/30/2023,0.039965568,Percent
1,ED,Stimulants,Age,0-15 Years,4,04/01/2023,04/30/2023,0.046114117,Percent
1,ED,Cannabis,Age,0-15 Years,4,04/01/2023,04/30/2023,0.23364486,Percent
1,ED,Benzodiazepine,Age,0-15 Years,4,04/01/2023,04/30/2023,0.006148549,Percent
1,ED,All Drugs,Age,0-15 Years,5,05/01/2023,05/31/2023,5.659093598,Percent
1,ED,All Opioids,Age,0-15 Years,5,05/01/2023,05/31/2023,0.032540528,Percent
1,ED,Stimulants,Age,0-15 Years,5,05/01/2023,05/31/2023,0.026624068,Percent
1,ED,Cannabis,Age,0-15 Years,5,05/01/2023,05/31/2023,0.263282452,Percent
1,ED,Benzodiazepine,Age,0-15 Years,5,05/01/2023,05/31/2023,0,Percent
1,ED,All Drugs,Age,0-15 Years,6,06/01/2023,06/30/2023,5.655157547,Percent
1,ED,All Opioids,Age,0-15 Years,6,06/01/2023,06/30/2023,0.039521431,Percent
1,ED,Stimulants,Age,0-15 Years,6,06/01/2023,06/30/2023,0.010778572,Percent
1,ED,Cannabis,Age,0-15 Years,6,06/01/2023,06/30/2023,0.27665002,Percent
1,ED,Benzodiazepine,Age,0-15 Years,6,06/01/2023,06/30/2023,0.01437143,Percent
1,ED,All Drugs,Age,0-15 Years,7,07/01/2023,07/31/2023,5.644427597,Percent
1,ED,All Opioids,Age,0-15 Years,7,07/01/2023,07/31/2023,0.034116755,Percent
1,ED,Stimulants,Age,0-15 Years,7,07/01/2023,07/31/2023,0.045489007,Percent
1,ED,Cannabis,Age,0-15 Years,7,07/01/2023,07/31/2023,0.163002274,Percent
1,ED,Benzodiazepine,Age,0-15 Years,7,07/01/2023,07/31/2023,0.003790751,Percent
1,ED,All Drugs,Age,0-15 Years,8,08/01/2023,08/31/2023,6.38656722,Percent
1,ED,All Opioids,Age,0-15 Years,8,08/01/2023,08/31/2023,0.04122784,Percent
1,ED,Stimulants,Age,0-15 Years,8,08/01/2023,08/31/2023,0.022487913,Percent
1,ED,Cannabis,Age,0-15 Years,8,08/01/2023,08/31/2023,0.251115026,Percent
1,ED,Benzodiazepine,Age,0-15 Years,8,08/01/2023,08/31/2023,0,Percent
1,ED,All Drugs,Age,0-15 Years,9,09/01/2023,09/30/2023,6.897688681,Percent
1,ED,All Opioids,Age,0-15 Years,9,09/01/2023,09/30/2023,0.029674569,Percent
1,ED,Stimulants,Age,0-15 Years,9,09/01/2023,09/30/2023,0.009891523,Percent
1,ED,Cannabis,Age,0-15 Years,9,09/01/2023,09/30/2023,0.234099377,Percent
1,ED,Benzodiazepine,Age,0-15 Years,9,09/01/2023,09/30/2023,0.009891523,Percent
1,ED,All Drugs,Age,0-15 Years,10,10/01/2023,10/31/2023,5.908584169,Percent
1,ED,All Opioids,Age,0-15 Years,10,10/01/2023,10/31/2023,0.066287023,Percent
1,ED,Stimulants,Age,0-15 Years,10,10/01/2023,10/31/2023,0.027117418,Percent
1,ED,Cannabis,Age,0-15 Years,10,10/01/2023,10/31/2023,0.195848022,Percent
1,ED,Benzodiazepine,Age,0-15 Years,10,10/01/2023,10/31/2023,0.012052186,Percent
