Hospital Name,Year,VALUE
60th Medical Group (Travis AFB),2023,19.604620442999998
673rd Medical Group (Joint Base Elmendorf-Richardson),2023,4.8300686420000005
81st Medical Group (Keesler AFB),2024,5.11310286
88th Medical Group (Wright-Patterson AFB),2023,2.951217662
96th Medical Group (Eglin AFB),2023,7.881773399
96th Medical Group (Eglin AFB),2024,10.65830721
99th Medical Group (Nellis AFB),2023,11.282409793
ABBEVILLE AREA MEDICAL CENTER,2023,7.720642405
ABBEVILLE GENERAL HOSPITAL,2023,73.98607748
ABBOTT NORTHWESTERN HOSPITAL,2023,14.678619435
ABRAHAM LINCOLN MEMORIAL HOSPITAL,2023,34.660349923999995
ABRAZO ARROWHEAD HOSPITAL,2023,0.632911392
ABRAZO ARROWHEAD HOSPITAL,2024,0.0
ABRAZO CENTRAL CAMPUS,2023,2.094240838
ABRAZO CENTRAL CAMPUS,2024,39.0070922
ABRAZO SCOTTSDALE CAMPUS,2023,2.105263158
ABRAZO SCOTTSDALE CAMPUS,2024,0.248772504
ABRAZO WEST CAMPUS,2023,30.59305387
ABRAZO WEST CAMPUS,2024,0.816653323
ABROM KAPLAN MEMORIAL HOSPITAL,2023,9.766548463
ACADIA GENERAL HOSPITAL,2023,22.27074236
ACADIA GENERAL HOSPITAL,2024,37.20877629
ACADIA ST LANDRY,2023,1.97044335
ACADIA ST LANDRY,2024,6.818181818
ACADIAN MEDICAL CENTER,2023,9.81595092
ACADIAN MEDICAL CENTER,2024,0.419066375
"ACCESS HOSPITAL DAYTON, LLC",2024,30.0
ACMH HOSPITAL,2024,0.507896751
"AD HOSPITAL EAST, LLC",2024,6.491996781
ADAIR ACUTE CARE AT OSAWATOMIE STATE HOSPITAL,2023,0.935846561
ADAIR ACUTE CARE AT OSAWATOMIE STATE HOSPITAL,2024,26.81418809
ADAIR COUNTY MEMORIAL HOSPITAL,2023,4.633204633
ADAIR COUNTY MEMORIAL HOSPITAL,2024,36.0
ADAMS COUNTY REGIONAL MEDICAL CENTER,2023,5.180273518
ADAMS MEMORIAL HOSPITAL,2023,8.869565217
ADAMS MEMORIAL HOSPITAL,2024,0.0
ADCARE HOSPITAL OF WORCESTER INC,2023,7.955599523
ADENA FAYETTE MEDICAL CENTER,2023,0.451152223
ADENA PIKE MEDICAL CENTER,2024,2.928146948
ADENA REGIONAL MEDICAL CENTER,2023,1.831501832
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,2024,2.799828092
ADVANCED DALLAS HOSPITALS AND CLINICS,2024,35.13513514
ADVANCED SURGICAL HOSPITAL,2023,42.33333333
ADVENTHEALTH CASTLE ROCK,2023,57.332714476
ADVENTHEALTH CENTRAL TEXAS,2023,33.33333333
ADVENTHEALTH DADE CITY,2023,6.956861589000001
ADVENTHEALTH DAYTONA BEACH,2023,44.270965600000004
ADVENTHEALTH DELAND,2023,28.03401928
ADVENTHEALTH DELAND,2024,0.747322778
ADVENTHEALTH FISH MEMORIAL,2023,0.209291509
ADVENTHEALTH FISH MEMORIAL,2024,1.708074534
ADVENTHEALTH GORDON,2023,46.06741573
ADVENTHEALTH GORDON,2024,0.218370411
ADVENTHEALTH HEART OF FLORIDA,2023,0.890482812
ADVENTHEALTH HEART OF FLORIDA,2024,2.564102564
ADVENTHEALTH HENDERSONVILLE,2024,59614.0
ADVENTHEALTH LAKE WALES,2023,37.56906077
ADVENTHEALTH LAKE WALES,2024,3.260869565
ADVENTHEALTH MURRAY,2023,56.454929072
ADVENTHEALTH NEW SMYRNA BEACH,2023,1.869158879
ADVENTHEALTH NEW SMYRNA BEACH,2024,0.0
ADVENTHEALTH NORTH PINELLAS,2024,12.810582871000001
ADVENTHEALTH OCALA,2023,2.718420341
ADVENTHEALTH OCALA,2024,0.36101083
ADVENTHEALTH ORLANDO,2023,0.022487913
ADVENTHEALTH ORLANDO,2024,2.325581395
ADVENTHEALTH OTTAWA,2024,1.281931861
ADVENTHEALTH PALM COAST PARKWAY,2023,7.755775578
ADVENTHEALTH PALM COAST PARKWAY,2024,26.15384615
ADVENTHEALTH REDMOND,2024,1.700798334
ADVENTHEALTH ROLLINS BROOK,2023,9.523809524
ADVENTHEALTH SEBRING,2023,60.175202151
ADVENTHEALTH SHAWNEE MISSION,2023,4.5713307279999995
ADVENTHEALTH TAMPA,2023,3.378378378
ADVENTHEALTH TAMPA,2024,1.492537313
ADVENTHEALTH WATERMAN,2023,8.75273523
ADVENTHEALTH WATERMAN,2024,0.706457748
ADVENTHEALTH WAUCHULA,2024,7.185753422
ADVENTHEALTH WESLEY CHAPEL,2023,4.255319149
