State,Year,SETTING,TotalValue,MedianIncome,Population,UnemploymentRate,PovertyRate,BachelorsDegreeOrHigher
AK,2023,ED,161.335935543,88121.0,5012227.0,4.0,11.98,35.03
AK,2023,IP,127.398603034,88121.0,5012227.0,4.0,11.98,35.03
AK,2024,ED,133.562940494,90549.0,4999254.0,3.96,12.04,34.89
AK,2024,IP,82.299853799,90549.0,4999254.0,3.96,12.04,34.89
AL,2023,ED,438.15082064,62212.0,4977698.0,3.92,11.89,35.03
AL,2023,IP,743.656369404,62212.0,4977698.0,3.92,11.89,35.03
AL,2024,ED,271.858692254,64049.0,4990740.0,4.06,12.09,35.11
AL,2024,IP,547.325301327,64049.0,4990740.0,4.06,12.090000000000002,35.11
AR,2023,ED,312.51092743099997,58700.0,5002194.0,4.04,11.9,35.15
AR,2023,IP,57409.234739741,58700.0,5002194.0,4.04,11.9,35.15
AR,2024,ED,414.605472778,60233.0,4976162.0,4.05,11.94,34.96
AR,2024,IP,59819.63226986,60233.0,4976162.0,4.05,11.94,34.96
AS,2023,ED,15.92505855,,,,,
AZ,2023,ED,497.815055965,77315.0,4997635.0,4.04,12.040000000000001,34.92
AZ,2023,IP,642.545294354,77315.0,4997635.0,4.04,12.04,34.92
AZ,2024,ED,331375.659434411,79498.0,4998877.0,4.06,12.040000000000001,35.15
AZ,2024,IP,409.206031716,79498.0,4998877.0,4.06,12.04,35.15
CA,2023,ED,168401.092633969,95521.0,4977549.0,4.0,11.910000000000002,35.07
CA,2023,IP,60177.922541138,95521.0,4977549.0,4.0,11.91,35.07
CA,2024,ED,166633.445918683,97901.0,4989131.0,3.96,11.989999999999998,34.93
CA,2024,IP,60037.783489462,97901.0,4989131.0,3.9600000000000004,11.99,34.93
CO,2023,ED,490.473170286,92911.0,5019895.0,3.98,12.04,34.88
CO,2023,IP,59048.11327572,92911.0,5019895.0,3.9800000000000004,12.04,34.88
CO,2024,ED,437.607604172,94011.0,4996802.0,3.93,12.09,34.83
CO,2024,IP,60165.351836167,94011.0,4996802.0,3.93,12.09,34.83
CT,2023,ED,94.299546418,91665.0,5019950.0,4.05,11.92,34.92
CT,2023,IP,297.866754836,91665.0,5019950.0,4.05,11.92,34.92
CT,2024,ED,52.679091868,92956.0,5022824.0,4.01,12.120000000000001,35.0
CT,2024,IP,56133.720836705,92956.0,5022824.0,4.01,12.12,35.0
