FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE,Hospital Name,DrugRecordID
1,ED,All Drugs,Age,0-15 Years,1,01/01/2023,01/31/2023,6.253098457,Percent,SERENITY SPRINGS SPECIALTY HOSPITAL,49
1,ED,All Opioids,Age,0-15 Years,1,01/01/2023,01/31/2023,0.013220081,Percent,CHI ST. VINCENT HOSPITAL HOT SPRINGS,50
1,ED,Stimulants,Age,0-15 Years,1,01/01/2023,01/31/2023,0.033050203,Percent,HAVASU REGIONAL MEDICAL CENTER,51
1,ED,Cannabis,Age,0-15 Years,1,01/01/2023,01/31/2023,0.320586972,Percent,SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON,52
1,ED,Benzodiazepine,Age,0-15 Years,1,01/01/2023,01/31/2023,0.013220081,Percent,BMH-CALHOUN,53
1,ED,All Drugs,Age,0-15 Years,2,02/01/2023,02/28/2023,6.35504724,Percent,NOVANT HEALTH MEDICAL PARK HOSPITAL,54
1,ED,All Opioids,Age,0-15 Years,2,02/01/2023,02/28/2023,0.036466103,Percent,MEMORIAL HOSPITAL AND MANOR,55
1,ED,Stimulants,Age,0-15 Years,2,02/01/2023,02/28/2023,0.019890602,Percent,TEMPE ST LUKES HOSPITAL,56
1,ED,Cannabis,Age,0-15 Years,2,02/01/2023,02/28/2023,0.23205702,Percent,KENNEDY KRIEGER INSTITUTE,57
1,ED,Benzodiazepine,Age,0-15 Years,2,02/01/2023,02/28/2023,0.019890602,Percent,UNIVERSITY OF ALABAMA HOSPITAL,58
1,ED,All Drugs,Age,0-15 Years,3,03/01/2023,03/31/2023,6.243352784,Percent,RINGGOLD COUNTY HOSPITAL,59
1,ED,All Opioids,Age,0-15 Years,3,03/01/2023,03/31/2023,0.037368134,Percent,LADY OF THE SEA GENERAL HOSPITAL,60
1,ED,Stimulants,Age,0-15 Years,3,03/01/2023,03/31/2023,0.037368134,Percent,WEST BOCA MEDICAL CENTER,61
1,ED,Cannabis,Age,0-15 Years,3,03/01/2023,03/31/2023,0.278823766,Percent,SAN RAMON REGIONAL MEDICAL CENTER,62
1,ED,Benzodiazepine,Age,0-15 Years,3,03/01/2023,03/31/2023,0.011497887,Percent,O.A.S.I.S. HOSPITAL,63
1,ED,All Drugs,Age,0-15 Years,4,04/01/2023,04/30/2023,5.902606985,Percent,UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER,64
1,ED,All Opioids,Age,0-15 Years,4,04/01/2023,04/30/2023,0.039965568,Percent,COOSA VALLEY MEDICAL CENTER,65
1,ED,Stimulants,Age,0-15 Years,4,04/01/2023,04/30/2023,0.046114117,Percent,STONEWALL JACKSON MEMORIAL HOSPITAL,66
1,ED,Cannabis,Age,0-15 Years,4,04/01/2023,04/30/2023,0.23364486,Percent,OCH REGIONAL MEDICAL CENTER,67
1,ED,Benzodiazepine,Age,0-15 Years,4,04/01/2023,04/30/2023,0.006148549,Percent,LINCOLN MEDICAL CENTER,68
1,ED,All Drugs,Age,0-15 Years,5,05/01/2023,05/31/2023,5.659093598,Percent,WEST HOLT MEMORIAL HOSPITAL,69
1,ED,All Opioids,Age,0-15 Years,5,05/01/2023,05/31/2023,0.032540528,Percent,MERCY HOSPITAL BOONEVILLE,70
1,ED,Stimulants,Age,0-15 Years,5,05/01/2023,05/31/2023,0.026624068,Percent,PRESBYTERIAN HOSPITAL,71
1,ED,Cannabis,Age,0-15 Years,5,05/01/2023,05/31/2023,0.263282452,Percent,AVENIR BEHAVIORAL HEALTH CENTER,72
1,ED,Benzodiazepine,Age,0-15 Years,5,05/01/2023,05/31/2023,0.0,Percent,TAMPA VA MEDICAL CENTER,73
1,ED,All Drugs,Age,0-15 Years,6,06/01/2023,06/30/2023,5.655157547,Percent,LOWELL GENERAL HOSPITAL,74
1,ED,All Opioids,Age,0-15 Years,6,06/01/2023,06/30/2023,0.039521431,Percent,SUMMA HEALTH SYSTEM,75
1,ED,Stimulants,Age,0-15 Years,6,06/01/2023,06/30/2023,0.010778572,Percent,OVIEDO MEDICAL CENTER,76
1,ED,Cannabis,Age,0-15 Years,6,06/01/2023,06/30/2023,0.27665002,Percent,VA AMARILLO HEALTHCARE SYSTEM,77
1,ED,Benzodiazepine,Age,0-15 Years,6,06/01/2023,06/30/2023,0.01437143,Percent,GUNDERSEN PALMER LUTHERAN HOSPITAL AND CLINICS,78
1,ED,All Drugs,Age,0-15 Years,7,07/01/2023,07/31/2023,5.644427597,Percent,99th Medical Group (Nellis AFB),79
1,ED,All Opioids,Age,0-15 Years,7,07/01/2023,07/31/2023,0.034116755,Percent,LIFEWAYS HOSPITAL,80
1,ED,Stimulants,Age,0-15 Years,7,07/01/2023,07/31/2023,0.045489007,Percent,LOST RIVERS MEDICAL CENTER,81
1,ED,Cannabis,Age,0-15 Years,7,07/01/2023,07/31/2023,0.163002274,Percent,FORT DUNCAN MEDICAL CENTER,82
1,ED,Benzodiazepine,Age,0-15 Years,7,07/01/2023,07/31/2023,0.003790751,Percent,TUG VALLEY ARH REGIONAL MEDICAL CENTER,83
1,ED,All Drugs,Age,0-15 Years,8,08/01/2023,08/31/2023,6.38656722,Percent,KEEFE MEMORIAL HOSPITAL,84
1,ED,All Opioids,Age,0-15 Years,8,08/01/2023,08/31/2023,0.04122784,Percent,OCEANS BEHAVIORAL HOSPITAL OF KENTWOOD,85
