FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE,Hospital Name,DrugRecordID
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,1,01/01/2023,01/31/2023,1.691331924,Percent,OSF SAINT ELIZABETH MDL CTR,2449
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,1,01/01/2023,01/31/2023,12.37113402,Percent,GRAND JUNCTION VA MEDICAL CENTER,2450
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,2,02/01/2023,02/28/2023,2.034428795,Percent,NORTHWEST FLORIDA COMMUNITY HOSPITAL,2451
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,2,02/01/2023,02/28/2023,15.71428571,Percent,ST FRANCIS HOSPITAL- EMORY HEALTHCARE,2452
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,3,03/01/2023,03/31/2023,1.841620626,Percent,MORTON COUNTY HOSPITAL,2453
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,3,03/01/2023,03/31/2023,16.49484536,Percent,MERCY HOSPITAL WALDRON,2454
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,4,04/01/2023,04/30/2023,1.822916667,Percent,SEARHC WRANGELL MEDICAL CENTER-CAH,2455
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,4,04/01/2023,04/30/2023,18.42105263,Percent,METHODIST HOSPITAL FOR SURGERY,2456
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,5,05/01/2023,05/31/2023,1.986408782,Percent,LAKE VIEW MEMORIAL HOSPITAL,2457
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,5,05/01/2023,05/31/2023,13.48314607,Percent,MONTROSE REGIONAL HEALTH,2458
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,6,06/01/2023,06/30/2023,1.969504447,Percent,Bayne-Jones ACH (Ft Johnson),2459
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,6,06/01/2023,06/30/2023,12.98701299,Percent,SNOQUALMIE VALLEY HOSPITAL,2460
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,7,07/01/2023,07/31/2023,1.276024177,Percent,LEXINGTON REGIONAL HEALTH CENTER,2461
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,7,07/01/2023,07/31/2023,13.95348837,Percent,QUEENS HOSPITAL CENTER,2462
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,8,08/01/2023,08/31/2023,2.171361502,Percent,GOODLAND REGIONAL MEDICAL CENTER,2463
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,8,08/01/2023,08/31/2023,14.92537313,Percent,CHILDRENS HOSPITAL,2464
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,9,09/01/2023,09/30/2023,1.434034417,Percent,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,2465
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,9,09/01/2023,09/30/2023,9.85915493,Percent,NEWTON-WELLESLEY HOSPITAL,2466
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,10,10/01/2023,10/31/2023,1.376848547,Percent,WESTERN MISSOURI MEDICAL CENTER,2467
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,10,10/01/2023,10/31/2023,12.30769231,Percent,CHI HEALTH MERCY COUNCIL BLUFFS,2468
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,11,11/01/2023,11/30/2023,2.099334357,Percent,SPRING MOUNTAIN TREATMENT CENTER,2469
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,11,11/01/2023,11/30/2023,8.43373494,Percent,NEWPORT HOSPITAL,2470
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,12,12/01/2023,12/31/2023,1.570438799,Percent,TREASURE VALLEY HOSPITAL,2471
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,12,12/01/2023,12/31/2023,14.28571429,Percent,BANNER BOSWELL MEDICAL CENTER,2472
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,13,01/01/2024,01/31/2024,2.084476138,Percent,BRENTWOOD MEADOWS LLC,2473
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,13,01/01/2024,01/31/2024,16.25,Percent,ASCENSION ST VINCENT SALEM,2474
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,14,02/01/2024,02/29/2024,0.767263427,Percent,PELLA REGIONAL HEALTH CENTER,2475
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,14,02/01/2024,02/29/2024,6.153846154,Percent,BANNER THUNDERBIRD MEDICAL CENTER,2476
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,15,03/01/2024,03/31/2024,1.996762008,Percent,BHC FREMONT HOSPITAL INC,2477
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,15,03/01/2024,03/31/2024,9.722222222,Percent,DENVER SPRINGS,2478
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,16,04/01/2024,04/30/2024,1.851851852,Percent,Tripler AMC (FT Shafter),2479
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,16,04/01/2024,04/30/2024,8.108108108,Percent,ASCENSION  SETON HAYS,2480
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,17,05/01/2024,05/31/2024,1.818181818,Percent,CARLE EUREKA  HOSPITAL,2481
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,17,05/01/2024,05/31/2024,12.76595745,Percent,KIMBALL HEALTH SERVICES,2482
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,18,06/01/2024,06/30/2024,1.270053476,Percent,UNION MEDICAL CENTER,2483
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,18,06/01/2024,06/30/2024,5.882352941,Percent,ADVENTIST HEALTH CLEARLAKE,2484
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,19,07/01/2024,07/31/2024,1.153568854,Percent,ST LUCIE MEDICAL CENTER,2485
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,19,07/01/2024,07/31/2024,8.0,Percent,"BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL, LLC",2486
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,20,08/01/2024,08/31/2024,1.156462585,Percent,SOUTHERN INYO HOSPITAL,2487
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,20,08/01/2024,08/31/2024,2.127659574,Percent,MCLAREN THUMB REGION,2488
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,21,09/01/2024,09/30/2024,1.462621885,Percent,PETERSBURG MEDICAL CENTER,2489
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,21,09/01/2024,09/30/2024,11.84210526,Percent,MENTAL HEALTH INSTITUTE,2490
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,22,10/01/2024,10/31/2024,2.145708583,Percent,ECU HEALTH MEDICAL CENTER,2491
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,22,10/01/2024,10/31/2024,10.86956522,Percent,SILVER OAKS BEHAVIORAL HOSPITAL,2492
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,23,11/01/2024,11/30/2024,2.083333333,Percent,UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,2493
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,23,11/01/2024,11/30/2024,10.66666667,Percent,MISSISSIPPI METHODIST REHAB CTR,2494
3,ED,All Drugs and co-occurring disorders,Age,0-15 Years,24,12/01/2024,12/31/2024,1.097178683,Percent,CHSLI ST JOSEPH HOSPITAL,2495
3,ED,Cannabis and co-occurring disorders,Age,0-15 Years,24,12/01/2024,12/31/2024,14.51612903,Percent,UNIVERSITY OF LOUISVILLE HOSPITAL,2496
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,1,01/01/2023,01/31/2023,9.373814042,Percent,CHRISTUS CENTRAL LOUISIANA SURGICAL HOSPITAL,2497
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,1,01/01/2023,01/31/2023,18.76675603,Percent,MEADE DISTRICT HOSPITAL,2498
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,1,01/01/2023,01/31/2023,21.18380062,Percent,BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE,2499
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,1,01/01/2023,01/31/2023,14.14141414,Percent,HILL CREST BEHAVIORAL HEALTH SERVICES,2500
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,1,01/01/2023,01/31/2023,25.0,Percent,TRIGG COUNTY HOSPITAL,2501
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,2,02/01/2023,02/28/2023,10.00203915,Percent,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,2502
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,2,02/01/2023,02/28/2023,17.03703704,Percent,JFK MEDICAL CENTER,2503
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,2,02/01/2023,02/28/2023,32.11009174,Percent,DECATUR (ATLANTA) VA MEDICAL CENTER,2504
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,2,02/01/2023,02/28/2023,16.11624835,Percent,60th Medical Group (Travis AFB),2505
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,2,02/01/2023,02/28/2023,30.50847458,Percent,IOWA CITY VA MEDICAL CENTER,2506
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,3,03/01/2023,03/31/2023,9.905443863,Percent,BROADLAWNS MEDICAL CENTER,2507
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,3,03/01/2023,03/31/2023,19.17808219,Percent,COTTONWOOD SPRINGS LLC,2508
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,3,03/01/2023,03/31/2023,30.1994302,Percent,ROPER HOSPITAL,2509
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,3,03/01/2023,03/31/2023,14.57286432,Percent,SANTA BARBARA COTTAGE HOSPITAL,2510
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,3,03/01/2023,03/31/2023,33.33333333,Percent,MASSAC MEMORIAL HOSPITAL,2511
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,4,04/01/2023,04/30/2023,9.465737515,Percent,PEARL RIVER COUNTY HOSPITAL,2512
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,4,04/01/2023,04/30/2023,15.87301587,Percent,MOUNT NITTANY MEDICAL CENTER,2513
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,4,04/01/2023,04/30/2023,29.41176471,Percent,SANFORD BEHAVIORAL HEALTH CENTER,2514
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,4,04/01/2023,04/30/2023,15.22580645,Percent,MYMICHIGAN MEDICAL CENTER CLARE,2515
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,4,04/01/2023,04/30/2023,39.3442623,Percent,DECATUR HEALTH,2516
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,5,05/01/2023,05/31/2023,9.176514032,Percent,BON SECOURS RICHMOND COMMUNITY HOSPITAL,2517
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,5,05/01/2023,05/31/2023,19.29046563,Percent,TOUCHETTE REGIONAL HOSPITAL INC,2518
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,5,05/01/2023,05/31/2023,29.74358974,Percent,STEVENS COUNTY HOSPITAL,2519
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,5,05/01/2023,05/31/2023,16.17283951,Percent,ST FRANCIS REGIONAL MEDICAL CENTER,2520
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,5,05/01/2023,05/31/2023,33.33333333,Percent,OUR LADY OF THE LAKE SURGICAL HOSPITAL,2521
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,6,06/01/2023,06/30/2023,10.01913876,Percent,NORTH ARKANSAS REGIONAL MEDICAL CENTER,2522
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,6,06/01/2023,06/30/2023,15.75178998,Percent,DOCTORS HOSPITAL LLC,2523
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,6,06/01/2023,06/30/2023,34.29319372,Percent,PACIFICA HOSPITAL OF THE VALLEY,2524
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,6,06/01/2023,06/30/2023,15.45226131,Percent,HUTCHINGS PSYCHIATRIC CTR,2525
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,6,06/01/2023,06/30/2023,38.46153846,Percent,GILA REGIONAL MEDICAL CENTER,2526
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,7,07/01/2023,07/31/2023,10.0045977,Percent,BOURBON COMMUNITY HOSPITAL,2527
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,7,07/01/2023,07/31/2023,16.83168317,Percent,"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",2528
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,7,07/01/2023,07/31/2023,33.57142857,Percent,UNIV. OF VERMONT - FLETCHER ALLEN HEALTH CARE,2529
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,7,07/01/2023,07/31/2023,14.34159061,Percent,RAINBOW BABIES AND CHILDRENS HOSPITAL,2530
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,7,07/01/2023,07/31/2023,37.77777778,Percent,LAKE DISTRICT HOSPITAL,2531
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,8,08/01/2023,08/31/2023,9.758364312,Percent,WHITE RIVER MEDICAL CENTER,2532
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,8,08/01/2023,08/31/2023,16.06765328,Percent,SHODAIR CHILDREN'S HOSPITAL,2533
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,8,08/01/2023,08/31/2023,33.00733496,Percent,HASKELL MEMORIAL HOSPITAL,2534
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,8,08/01/2023,08/31/2023,13.5883905,Percent,DAVIESS COMMUNITY HOSPITAL,2535
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,8,08/01/2023,08/31/2023,25.75757576,Percent,HOLYOKE MEDICAL CENTER,2536
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,9,09/01/2023,09/30/2023,8.85007278,Percent,TORRANCE STATE HOSPITAL,2537
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,9,09/01/2023,09/30/2023,14.83253589,Percent,SHASTA REGIONAL MEDICAL CENTER,2538
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,9,09/01/2023,09/30/2023,25.20107239,Percent,SPECTRUM HEALTH UNITED HOSPITAL,2539
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,9,09/01/2023,09/30/2023,15.41666667,Percent,CAPE FEAR VALLEY-BLADEN COUNTY HOSPITAL,2540
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,9,09/01/2023,09/30/2023,44.64285714,Percent,NOVATO COMMUNITY HOSPITAL,2541
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,10,10/01/2023,10/31/2023,9.368635438,Percent,BAPTIST HEALTH RICHMOND,2542
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,10,10/01/2023,10/31/2023,17.6344086,Percent,GRADY MEMORIAL HOSPITAL,2543
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,10,10/01/2023,10/31/2023,30.08130081,Percent,HOSPITAL DISTRICT #6 PATTERSON HEALTH CENTER,2544
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,10,10/01/2023,10/31/2023,14.73551637,Percent,VAIL HEALTH HOSPITAL,2545
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,10,10/01/2023,10/31/2023,35.59322034,Percent,ABBEVILLE GENERAL HOSPITAL,2546
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,11,11/01/2023,11/30/2023,10.06339942,Percent,LONE STAR BEHAVIORAL HEALTH CYPRESS,2547
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,11,11/01/2023,11/30/2023,15.21197007,Percent,GRANDVIEW MEDICAL CENTER,2548
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,11,11/01/2023,11/30/2023,29.93630573,Percent,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,2549
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,11,11/01/2023,11/30/2023,14.47902571,Percent,"KANSAS SPINE & SPECIALTY HOSPITAL, LLC",2550
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,11,11/01/2023,11/30/2023,24.07407407,Percent,DAMERON HOSPITAL,2551
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,12,12/01/2023,12/31/2023,9.422213148,Percent,IRON COUNTY MEDICAL CENTER,2552
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,12,12/01/2023,12/31/2023,19.20731707,Percent,DARDANELLE REGIONAL MEDICAL CENTER,2553
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,12,12/01/2023,12/31/2023,32.06349206,Percent,CUMBERLAND MEMORIAL HOSPITAL,2554
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,12,12/01/2023,12/31/2023,14.49864499,Percent,APPLETON AREA HEALTH,2555
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,12,12/01/2023,12/31/2023,36.84210526,Percent,ASCENSION SETON SMITHVILLE,2556
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,13,01/01/2024,01/31/2024,9.548879942,Percent,BAPTIST MEMORIAL HOSPITAL DESOTO,2557
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,13,01/01/2024,01/31/2024,16.4556962,Percent,SUN BEHAVIORAL HEALTH,2558
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,13,01/01/2024,01/31/2024,27.66666667,Percent,TACOMA GENERAL ALLENMORE HOSPITAL,2559
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,13,01/01/2024,01/31/2024,12.51778094,Percent,RICHARDSON MEDICAL CENTER,2560
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,13,01/01/2024,01/31/2024,34.21052632,Percent,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,2561
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,14,02/01/2024,02/29/2024,8.69800108,Percent,HERITAGE OAKS HOSPITAL,2562
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,14,02/01/2024,02/29/2024,12.28668942,Percent,MEMORIALCARE SADDLEBACK MEDICAL CENTER,2563
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,14,02/01/2024,02/29/2024,23.3463035,Percent,SGMC HEALTH,2564
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,14,02/01/2024,02/29/2024,9.365558912,Percent,OCEANS BEHAVIORAL HOSPITAL OF ALEXANDRIA,2565
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,14,02/01/2024,02/29/2024,30.76923077,Percent,PROVIDENCE MILWAUKIE HOSPITAL,2566
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,15,03/01/2024,03/31/2024,9.60152607,Percent,CHOATE MENTAL HEALTH & DEVELOPMENT CTR,2567
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,15,03/01/2024,03/31/2024,13.93188854,Percent,SULLIVAN COUNTY MEMORIAL HOSPITAL,2568
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,15,03/01/2024,03/31/2024,25.63291139,Percent,ASPIRUS RHINELANDER HOSPITAL,2569
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,15,03/01/2024,03/31/2024,14.05405405,Percent,PROMEDICA CHARLES AND VIRGINIA HICKMAN HOSPITAL,2570
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,15,03/01/2024,03/31/2024,18.91891892,Percent,PERSHING MEMORIAL HOSPITAL,2571
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,16,04/01/2024,04/30/2024,9.375986531,Percent,"INDIANA UNIVERSITY HEALTH JAY, INC.",2572
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,16,04/01/2024,04/30/2024,15.51155116,Percent,DELRAY MEDICAL CENTER,2573
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,16,04/01/2024,04/30/2024,27.38461538,Percent,DAVIS MEDICAL CENTER,2574
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,16,04/01/2024,04/30/2024,14.41860465,Percent,VIRTUA OUR LADY OF LOURDES HOSPITAL,2575
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,16,04/01/2024,04/30/2024,52.77777778,Percent,OVERLAKE HOSPITAL MEDICAL CENTER,2576
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,17,05/01/2024,05/31/2024,9.504911202,Percent,ELMHURST MEMORIAL HOSPITAL,2577
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,17,05/01/2024,05/31/2024,14.08450704,Percent,MONUMENT HEALTH SPEARFISH HOSPITAL,2578
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,17,05/01/2024,05/31/2024,25.0,Percent,TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,2579
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,17,05/01/2024,05/31/2024,12.1657754,Percent,KALAMAZOO REGIONAL PSYCHIATRIC HOSPITAL,2580
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,17,05/01/2024,05/31/2024,35.48387097,Percent,MAPLE GROVE HOSPITAL,2581
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,18,06/01/2024,06/30/2024,9.251515785,Percent,BANNER WYOMING MEDICAL CENTER,2582
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,18,06/01/2024,06/30/2024,16.43356643,Percent,KALKASKA MEMORIAL HEALTH CENTER,2583
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,18,06/01/2024,06/30/2024,22.19020173,Percent,MERCY HEALTH - URBANA HOSPITAL,2584
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,18,06/01/2024,06/30/2024,16.66666667,Percent,"CUBA MEMORIAL HOSPITAL, INC",2585
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,18,06/01/2024,06/30/2024,36.58536585,Percent,BEAR RIVER VALLEY HOSPITAL,2586
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,19,07/01/2024,07/31/2024,9.554730983,Percent,PAWNEE VALLEY COMMUNITY HOSPITAL,2587
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,19,07/01/2024,07/31/2024,13.53135314,Percent,PIEDMONT FAYETTE HOSPITAL,2588
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,19,07/01/2024,07/31/2024,23.17880795,Percent,HOSPITAL MENONITA GUAYAMA,2589
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,19,07/01/2024,07/31/2024,13.18373072,Percent,ST LUKES HOSPITAL,2590
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,19,07/01/2024,07/31/2024,15.38461538,Percent,COLUMBIA BASIN HOSPITAL,2591
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,20,08/01/2024,08/31/2024,9.619926992,Percent,HCA FLORIDA TWIN CITIES HOSPITAL,2592
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,20,08/01/2024,08/31/2024,13.7195122,Percent,MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,2593
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,20,08/01/2024,08/31/2024,21.68674699,Percent,NORTHSIDE HOSPITAL DULUTH,2594
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,20,08/01/2024,08/31/2024,14.9859944,Percent,SANFORD BAGLEY MEDICAL CENTER,2595
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,20,08/01/2024,08/31/2024,31.57894737,Percent,FLINT RIVER COMMUNITY HOSPITAL,2596
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,21,09/01/2024,09/30/2024,8.483597654,Percent,MIAMI VALLEY HOSPITAL,2597
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,21,09/01/2024,09/30/2024,10.0,Percent,HAMILTON HOSPITAL,2598
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,21,09/01/2024,09/30/2024,23.10469314,Percent,PARKVIEW REGIONAL HOSPITAL,2599
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,21,09/01/2024,09/30/2024,13.46749226,Percent,VISTA HEALTH FAYETTEVILLE,2600
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,21,09/01/2024,09/30/2024,22.72727273,Percent,LIFECARE MEDICAL CENTER,2601
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,22,10/01/2024,10/31/2024,8.938899989,Percent,LEWISGALE MEDICAL CENTER,2602
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,22,10/01/2024,10/31/2024,15.7480315,Percent,GORDON MEMORIAL HOSPITAL DISTRICT,2603
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,22,10/01/2024,10/31/2024,27.30263158,Percent,BON SECOURS SOUTHSIDE MEDICAL CENTER,2604
3,ED,Cannabis and co-occurring disorders,Age,16-34 Years,22,10/01/2024,10/31/2024,13.59223301,Percent,MERCY MEDICAL CENTER OF MT SHASTA,2605
3,ED,Benzodiazepine and co-occurring disorders,Age,16-34 Years,22,10/01/2024,10/31/2024,36.95652174,Percent,BATES COUNTY MEMORIAL HOSPITAL,2606
3,ED,All Drugs and co-occurring disorders,Age,16-34 Years,23,11/01/2024,11/30/2024,8.7329913,Percent,Darnall AMC (FT Cavazos),2607
3,ED,All Opioids and co-occurring disorders,Age,16-34 Years,23,11/01/2024,11/30/2024,12.14285714,Percent,FINLEY HOSPITAL,2608
3,ED,Stimulants and co-occurring disorders,Age,16-34 Years,23,11/01/2024,11/30/2024,25.17241379,Percent,AURORA CHARTER OAK,2609
