FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE,Hospital Name,DrugRecordID
5,ED,All Opioids overdose,Age,0-15 Years,1,01/01/2023,01/31/2023,2.094240838,Percent,COOK HOSPITAL,5561
5,ED,Stimulants overdose,Age,0-15 Years,1,01/01/2023,01/31/2023,4.712041885,Percent,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,5562
5,ED,Cannabis overdose,Age,0-15 Years,1,01/01/2023,01/31/2023,20.41884817,Percent,SHARP MESA VISTA HOSPITAL,5563
5,ED,Benzodiazepine overdose,Age,0-15 Years,1,01/01/2023,01/31/2023,2.094240838,Percent,ABRAZO CENTRAL CAMPUS,5564
5,ED,Fentanyl overdose,Age,0-15 Years,1,01/01/2023,01/31/2023,0.0,Percent,HUNT REGIONAL MEDICAL CENTER,5565
5,ED,Heroin overdose,Age,0-15 Years,1,01/01/2023,01/31/2023,0.0,Percent,DAVIE MEDICAL CENTER,5566
5,ED,All Opioids overdose,Age,0-15 Years,2,02/01/2023,02/28/2023,4.733727811,Percent,BLUEGRASS COMMUNITY HOSPITAL,5567
5,ED,Stimulants overdose,Age,0-15 Years,2,02/01/2023,02/28/2023,1.775147929,Percent,YAKIMA VALLEY MEMORIAL,5568
5,ED,Cannabis overdose,Age,0-15 Years,2,02/01/2023,02/28/2023,10.65088757,Percent,CENTRO MEDICO WILMA N VAZQUEZ,5569
5,ED,Benzodiazepine overdose,Age,0-15 Years,2,02/01/2023,02/28/2023,1.775147929,Percent,SAN JORGE CHILDRENS HOSPITAL INC,5570
5,ED,Fentanyl overdose,Age,0-15 Years,2,02/01/2023,02/28/2023,0.0,Percent,ST LUKE'S HOSPITAL,5571
5,ED,Heroin overdose,Age,0-15 Years,2,02/01/2023,02/28/2023,0.0,Percent,OWATONNA HOSPITAL,5572
5,ED,All Opioids overdose,Age,0-15 Years,3,03/01/2023,03/31/2023,2.512562814,Percent,"COMMUNITY MEMORIAL HEALTHCARE, INC.",5573
5,ED,Stimulants overdose,Age,0-15 Years,3,03/01/2023,03/31/2023,3.015075377,Percent,ST ANTHONY SUMMIT MEDICAL CENTER,5574
5,ED,Cannabis overdose,Age,0-15 Years,3,03/01/2023,03/31/2023,19.09547739,Percent,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,5575
5,ED,Benzodiazepine overdose,Age,0-15 Years,3,03/01/2023,03/31/2023,0.502512563,Percent,WILBARGER GENERAL HOSPITAL,5576
5,ED,Fentanyl overdose,Age,0-15 Years,3,03/01/2023,03/31/2023,0.0,Percent,"VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC",5577
5,ED,Heroin overdose,Age,0-15 Years,3,03/01/2023,03/31/2023,0.0,Percent,CENTRACARE HEALTH - MONTICELLO,5578
5,ED,All Opioids overdose,Age,0-15 Years,4,04/01/2023,04/30/2023,2.469135802,Percent,HAMPTON VA MEDICAL CENTER,5579
5,ED,Stimulants overdose,Age,0-15 Years,4,04/01/2023,04/30/2023,4.938271605,Percent,GRIFFIN HOSPITAL,5580
5,ED,Cannabis overdose,Age,0-15 Years,4,04/01/2023,04/30/2023,12.34567901,Percent,BAPTIST HEALTH CORBIN,5581
5,ED,Benzodiazepine overdose,Age,0-15 Years,4,04/01/2023,04/30/2023,1.234567901,Percent,HAZARD ARH REGIONAL MEDICAL CENTER,5582
5,ED,Fentanyl overdose,Age,0-15 Years,4,04/01/2023,04/30/2023,0.0,Percent,ATRIUM HEALTH FLOYD MEDICAL CENTER,5583
5,ED,Heroin overdose,Age,0-15 Years,4,04/01/2023,04/30/2023,0.0,Percent,UT HEALTH EAST TEXAS PITTSBURG HOSPITAL,5584
5,ED,All Opioids overdose,Age,0-15 Years,5,05/01/2023,05/31/2023,1.923076923,Percent,GLENCOE REGIONAL HEALTH,5585
5,ED,Stimulants overdose,Age,0-15 Years,5,05/01/2023,05/31/2023,2.564102564,Percent,PORTNEUF MEDICAL CENTER,5586
5,ED,Cannabis overdose,Age,0-15 Years,5,05/01/2023,05/31/2023,25.0,Percent,UNIVERSITY HEALTH SYSTEM,5587
5,ED,Benzodiazepine overdose,Age,0-15 Years,5,05/01/2023,05/31/2023,0.0,Percent,COMMUNITY HOSPITAL ASSOCIATION,5588
