FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE,Hospital Name,DrugRecordID
4,ED,All Drugs and COVID-19,Age,0-15 Years,1,01/01/2023,01/31/2023,5.073995772,Percent,UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER,4005
4,ED,Cannabis and COVID-19,Age,0-15 Years,1,01/01/2023,01/31/2023,1.030927835,Percent,CHRISTUS OCHSNER LAKE AREA HOSPITAL,4006
4,ED,All Drugs and COVID-19,Age,0-15 Years,2,02/01/2023,02/28/2023,2.816901408,Percent,MARTHA'S VINEYARD HOSPITAL INC,4007
4,ED,Cannabis and COVID-19,Age,0-15 Years,2,02/01/2023,02/28/2023,1.428571429,Percent,W PALM BEACH VA MEDICAL CENTER,4008
4,ED,All Drugs and COVID-19,Age,0-15 Years,3,03/01/2023,03/31/2023,2.716390424,Percent,MADISON STATE HOSPITAL,4009
4,ED,Cannabis and COVID-19,Age,0-15 Years,3,03/01/2023,03/31/2023,0.0,Percent,RAWLINS COUNTY HEALTH CENTER,4010
4,ED,All Drugs and COVID-19,Age,0-15 Years,4,04/01/2023,04/30/2023,1.614583333,Percent,EDGEFIELD COUNTY HEALTHCARE AN AFFILIATE OF SELF R,4011
4,ED,Cannabis and COVID-19,Age,0-15 Years,4,04/01/2023,04/30/2023,0.0,Percent,ORLANDO VA MEDICAL CENTER,4012
4,ED,All Drugs and COVID-19,Age,0-15 Years,5,05/01/2023,05/31/2023,1.829587036,Percent,MOBILE INFIRMARY MEDICAL CENTER,4013
4,ED,Cannabis and COVID-19,Age,0-15 Years,5,05/01/2023,05/31/2023,0.0,Percent,NORTH VALLEY HEALTH CENTER,4014
4,ED,All Drugs and COVID-19,Age,0-15 Years,6,06/01/2023,06/30/2023,1.905972046,Percent,MARSHALL COUNTY HOSPITAL,4015
4,ED,Cannabis and COVID-19,Age,0-15 Years,6,06/01/2023,06/30/2023,0.0,Percent,ST LUKE'S NAMPA MEDICAL CENTER,4016
4,ED,All Drugs and COVID-19,Age,0-15 Years,7,07/01/2023,07/31/2023,2.081934184,Percent,GOTHENBURG HEALTH,4017
4,ED,Cannabis and COVID-19,Age,0-15 Years,7,07/01/2023,07/31/2023,0.0,Percent,HAVENWYCK HOSPITAL,4018
4,ED,All Drugs and COVID-19,Age,0-15 Years,8,08/01/2023,08/31/2023,3.051643192,Percent,GEORGIA REGIONAL HOSP SAVANNAH,4019
4,ED,Cannabis and COVID-19,Age,0-15 Years,8,08/01/2023,08/31/2023,0.0,Percent,ASSURANCE HEALTH HUDSON LLC,4020
4,ED,All Drugs and COVID-19,Age,0-15 Years,9,09/01/2023,09/30/2023,3.298279159,Percent,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,4021
4,ED,Cannabis and COVID-19,Age,0-15 Years,9,09/01/2023,09/30/2023,0.0,Percent,ST ELIZABETH HOSPITAL,4022
