DrugRecordID,FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE,Hospital Name,Facility ID,Address,City/Town,State,ZIP Code,Year,Month,Quarter,DURATION_DAYS,MedianIncome,Population,UnemploymentRate,PovertyRate,BachelorsDegreeOrHigher
1,0,IP,Overall Summary,Overall Summary,Overall Summary,1,2023-01-01,2023-01-31,57172.0,Count,CENTRACARE HEALTH PAYNESVILLE HOSPITAL,241349,200 1ST STREET WEST,PAYNESVILLE,MN,56362,2023,1,2023Q1,30,85086.0,4985240.0,3.98,12.07,34.96
2,0,IP,Overall Summary,Overall Summary,Overall Summary,2,2023-02-01,2023-02-28,51983.0,Count,MORRIS COUNTY HOSPITAL,171379,600 N WASHINGTON ST,COUNCIL GROVE,KS,66846,2023,2,2023Q1,27,70333.0,4998042.0,3.96,12.1,35.16
3,0,IP,Overall Summary,Overall Summary,Overall Summary,3,2023-03-01,2023-03-31,58176.0,Count,KAISER FOUNDATION HOSPITAL - FRESNO,050710,7300 NORTH FRESNO ST,FRESNO,CA,93720,2023,3,2023Q1,30,95521.0,4977549.0,4.0,11.91,35.07
4,0,IP,Overall Summary,Overall Summary,Overall Summary,4,2023-04-01,2023-04-30,54751.0,Count,WASHINGTON COUNTY MEMORIAL HOSPITAL,261308,300 HEALTH WAY,POTOSI,MO,63664,2023,4,2023Q2,29,68545.0,5023881.0,4.06,11.91,34.95
5,0,IP,Overall Summary,Overall Summary,Overall Summary,5,2023-05-01,2023-05-31,57462.0,Count,OCEAN MEDICAL CENTER,310052,425 JACK MARTIN BLVD,BRICK,NJ,8724,2023,5,2023Q2,30,99781.0,4994974.0,4.05,12.02,34.88
6,0,IP,Overall Summary,Overall Summary,Overall Summary,6,2023-06-01,2023-06-30,56642.0,Count,MASSACHUSETTS EYE AND EAR INFIRMARY -,220075,243 CHARLES STREET,BOSTON,MA,2114,2023,6,2023Q2,29,99858.0,5022434.0,4.05,11.95,34.94
7,0,IP,Overall Summary,Overall Summary,Overall Summary,7,2023-07-01,2023-07-31,57015.0,Count,SOUTH MISSISSIPPI STATE HOSPITAL,254008,823 HIGHWAY 589,PURVIS,MS,39475,2023,7,2023Q3,30,54203.0,5022389.0,3.92,11.93,35.01
8,0,IP,Overall Summary,Overall Summary,Overall Summary,8,2023-08-01,2023-08-31,58787.0,Count,ST JOHN OWASSO,370227,12451 EAST 100TH STREET NORTH,OWASSO,OK,74055,2023,8,2023Q3,30,62138.0,5014700.0,3.96,12.08,35.15
9,0,IP,Overall Summary,Overall Summary,Overall Summary,9,2023-09-01,2023-09-30,56304.0,Count,UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON,450018,301 UNIVERSITY BOULEVARD,GALVESTON,TX,77555,2023,9,2023Q3,29,75780.0,4981069.0,3.92,11.93,35.05
10,0,IP,Overall Summary,Overall Summary,Overall Summary,10,2023-10-01,2023-10-31,58601.0,Count,YALOBUSHA GENERAL HOSPITAL,250061,630 SOUTH MAIN STREET,WATER VALLEY,MS,38965,2023,10,2023Q4,30,54203.0,5022389.0,3.92,11.93,35.01
11,0,IP,Overall Summary,Overall Summary,Overall Summary,11,2023-11-01,2023-11-30,56884.0,Count,CHICOT MEMORIAL MEDICAL CENTER,041328,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,2023,11,2023Q4,29,58700.0,5002194.0,4.04,11.9,35.15
12,0,IP,Overall Summary,Overall Summary,Overall Summary,12,2023-12-01,2023-12-31,58543.0,Count,CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS,060104,14300 ORCHARD PKWY,WESTMINSTER,CO,80023,2023,12,2023Q4,30,92911.0,5019895.0,3.98,12.04,34.88
13,0,IP,Overall Summary,Overall Summary,Overall Summary,13,2024-01-01,2024-01-31,59614.0,Count,ADVENTHEALTH HENDERSONVILLE,340023,100 HOSPITAL DRIVE,HENDERSONVILLE,NC,28792,2024,1,2024Q1,30,72889.0,4991531.0,4.07,11.99,35.17
14,0,IP,Overall Summary,Overall Summary,Overall Summary,14,2024-02-01,2024-02-29,54727.0,Count,GRAYS HARBOR COMMUNITY HOSPITAL,500031,915 ANDERSON DRIVE,ABERDEEN,WA,98520,2024,2,2024Q1,28,96670.0,4976952.0,4.04,11.9,34.88
15,0,IP,Overall Summary,Overall Summary,Overall Summary,15,2024-03-01,2024-03-31,58004.0,Count,JOHN F KENNEDY MEMORIAL HOSPITAL,050534,47111 MONROE STREET,INDIO,CA,92201,2024,3,2024Q1,30,97901.0,4989131.0,3.96,11.99,34.93
16,0,IP,Overall Summary,Overall Summary,Overall Summary,16,2024-04-01,2024-04-30,58600.0,Count,NORTH CENTRAL SURGICAL CENTER LLP,670049,9301 NORTH CENTRAL EXPRESSWAY SUITE 100,DALLAS,TX,75231,2024,4,2024Q2,29,77908.0,5021848.0,4.06,12.11,35.03
17,0,IP,Overall Summary,Overall Summary,Overall Summary,17,2024-05-01,2024-05-31,59567.0,Count,UCHEALTH GRANDVIEW HOSPITAL,060130,5623 PULPIT PEAK VW,COLORADO SPRINGS,CO,80918,2024,5,2024Q2,30,94011.0,4996802.0,3.93,12.09,34.83
18,0,IP,Overall Summary,Overall Summary,Overall Summary,18,2024-06-01,2024-06-30,57545.0,Count,MILLER COUNTY HOSPITAL,111305,209 N CUTHBERT STREET,COLQUITT,GA,39837,2024,6,2024Q2,29,75989.0,4988915.0,3.92,12.1,34.97
